bookTitle	bookSeries	bookAuthors	ratingValue	ratingCount	reviewCount	Plot	NumberofPages	Published	Characters	Setting	Url
A Tree Grows in Brooklyn	NaN	Betty  Smith	4.27	390189	20815	The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.	496	May 30th 2006	"Francie Nolan, Neeley Nolan, Katie Nolan, Johnny Nolan, Mary Rommely, Sissy Rommely, Eva ""Evy"" Rommely Flittman, Thomas Rommely, Sergeant McShane"	Williamsburg, Brooklyn, New York, New York City, New York, United States of America, New York State	https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange	NaN	Anthony Burgess	3.99	604399	13927	In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”	240	May 21st 2019	Pete, Alex Jacobi, Georgie, Dim	England	https://www.goodreads.com/book/show/41817486-a-clockwork-orange
The Road	NaN	Cormac McCarthy	3.97	720453	45922	A searing, postapocalyptic novel destined to become Cormac McCarthy’s masterpiece.A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind. It is cold enough to crack stones, and when the snow falls it is gray. The sky is dark. Their destination is the coast, although they don’t know what, if anything, awaits them there. They have nothing; just a pistol to defend themselves against the lawless bands that stalk the road, the clothes they are wearing, a cart of scavenged food—and each other.The Road is the profoundly moving story of a journey. It boldly imagines a future in which no hope remains, but in which the father and his son, “each the other’s world entire,” are sustained by love. Awesome in the totality of its vision, it is an unflinching meditation on the worst and the best that we are capable of: ultimate destructiveness, desperate tenacity, and the tenderness that keeps two people alive in the face of total devastation.	241	October 2nd 2006	The man, The boy	United States of America	https://www.goodreads.com/book/show/6288.The_Road
The Brothers Karamazov	(The Brothers Karamazov #1-4)	Fyodor Dostoyevsky	4.32	245156	11278	The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbalinventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel.	796	June 14th 2002	Dmitri Fyodorovich Karamazov, Ivan Fyodorovich Karamazov, Alexei Fyodorovich Karamazov, Pavel Smerdyakov, Agrafena Alexandrovna Svetlova, Katerina Ivanovna Verkhovtseva, Fyodor Pavlovich Karamazov, Father Zosima, the Elder, Ilyusha, Nikolai Krassotkin	Russia	https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
Angela's Ashes	(Frank McCourt #1)	Frank McCourt	4.11	542668	11990	"Imbued on every page with Frank McCourt's astounding humor and compassion. This is a glorious book that bears all the marks of a classic.""When I look back on my childhood I wonder how I managed to survive at all. It was, of course, a miserable childhood: the happy childhood is hardly worth your while. Worse than the ordinary miserable childhood is the miserable Irish childhood, and worse yet is the miserable Irish Catholic childhood."" So begins the Pulitzer Prize winning memoir of Frank McCourt, born in Depression-era Brooklyn to recent Irish immigrants and raised in the slums of Limerick, Ireland. Frank's mother, Angela, has no money to feed the children since Frank's father, Malachy, rarely works, and when he does he drinks his wages. Yet Malachy-- exasperating, irresponsible and beguiling-- does nurture in Frank an appetite for the one thing he can provide: a story. Frank lives for his father's tales of Cuchulain, who saved Ireland, and of the Angel on the Seventh Step, who brings his mother babies. Perhaps it is story that accounts for Frank's survival. Wearing rags for diapers, begging a pig's head for Christmas dinner and gathering coal from the roadside to light a fire, Frank endures poverty, near-starvation and the casual cruelty of relatives and neighbors--yet lives to tell his tale with eloquence, exuberance and remarkable forgiveness. Angela's Ashes, imbued on every page with Frank McCourt's astounding humor and compassion, is a glorious book that bears all the marks of a classic."	452	October 3rd 2005	Frank McCourt	Limerick, New York State, Ireland	https://www.goodreads.com/book/show/252577.Angela_s_Ashes
Vampire Academy	(Vampire Academy #1)	Richelle Mead	4.12	552918	22274	ONLY A TRUE BEST FRIEND CAN PROTECT YOU FROM YOUR IMMORTAL ENEMIES...Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires - the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes her a dhampir. Rose is dedicated to a dangerous life of protecting Lissa from the Strigoi, who are hell-bent on making Lissa one of them.After two years of freedom, Rose and Lissa are caught and dragged back to St. Vladimir's Academy, a school for vampire royalty and their guardians-to-be, hidden in the deep forests of Montana. But inside the iron gates, life is even more fraught with danger... and the Strigoi are always close by.Rose and Lissa must navigate their dangerous world, confront the temptations of forbidden love, and never once let their guard down, lest the evil undead make Lissa one of them forever...	332	August 16th 2007	"Vasilisa ""Lissa"" Dragomir, Dimitri Belikov, Christian Ozera, Mason Ashford, Victor Dashkov, Mia Rinaldi, Janine Hathaway, Natalie Dashkov, Edison ""Eddie"" Castile, Ellen Kirova, Rosemarie ""Rose"" Hathaway, Camille Conta, Stan Alto, Jesse Zeklos, Tatiana Ivashkov"	Montana	https://www.goodreads.com/book/show/345627.Vampire_Academy
Siddhartha	NaN	Hermann Hesse	4.03	586990	17654	Herman Hesse's classic novel has delighted, inspired, and influenced generations of readers, writers, and thinkers. In this story of a wealthy Indian Brahmin who casts off a life of privilege to seek spiritual fulfillment. Hesse synthesizes disparate philosophies--Eastern religions, Jungian archetypes, Western individualism--into a unique vision of life as expressed through one man's search for true meaning.	152	December 1st 1981	Siddhartha, Govinda, Gotama, Kamala, Vasudeva	India	https://www.goodreads.com/book/show/52036.Siddhartha
The Poisonwood Bible	NaN	Barbara Kingsolver	4.07	660800	23345	The Poisonwood Bible is a story told by the wife and four daughters of Nathan Price, a fierce, evangelical Baptist who takes his family and mission to the Belgian Congo in 1959. They carry with them everything they believe they will need from home, but soon find that all of it -- from garden seeds to Scripture -- is calamitously transformed on African soil. What follows is a suspenseful epic of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.	546	July 5th 2005	Orleanna Price, Ruth May Price, Rachel Rebeccah Price, Leah Price, Nathan Price, Dr Bud Wharton, Adah Price, Reverend & Mrs. Underdown	Bethlehem, Georgia, Kilanga, Sanderling Island, Georgia, Leopoldville	https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings	(The Lord of the Rings #0-3)	J.R.R. Tolkien	4.60	110883	1791	This four-volume, boxed set contains J.R.R. Tolkien's epic masterworks The Hobbit and the three volumes of The Lord of the Rings (The Fellowship of the Ring, The Two Towers, and The Return of the King).In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.The Lord of the Rings tells of the great quest undertaken by Frodo Baggins and the Fellowship of the Ring: Gandalf the wizard; the hobbits Merry, Pippin, and Sam; Gimli the dwarf; Legolas the elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. J.R.R. Tolkien's three volume masterpiece is at once a classic myth and a modern fairy tale—a story of high and heroic adventure set in the unforgettable landscape of Middle-earth	1728	September 25th 2012	Frodo Baggins, Gandalf, Bilbo Baggins, Gollum	Middle-earth	https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
The Golden Compass	(His Dark Materials #1)	Philip Pullman	3.99	1292180	22324	Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.	399	April 16th 1996	Lyra Belacqua, Pantalaimon, Lord Asriel, Iorek Byrnison, Iofur Raknison, Marisa Coulter, Lee Scoresby, Roger Parslow, Serafina Pekkala, Hester, Farder Coram, John Faa, Billy Costa	Oxford, England, svalbard	https://www.goodreads.com/book/show/119322.The_Golden_Compass
Don Quixote	NaN	Miguel de Cervantes Saavedra	3.88	211402	8167	"Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.With its experimental form and literary playfulness, Don Quixote has been generally recognized as the first modern novel. The book has been enormously influential on a host of writers, from Fielding and Sterne to Flaubert, Dickens, Melville, and Faulkner, who reread it once a year, ""just as some people read the Bible."""	1023	February 25th 2003	Sancho Panza, Don Quijote de la Mancha	La Mancha, Barcelona, Catalonia, Spain	https://www.goodreads.com/book/show/3836.Don_Quixote
Harry Potter and the Prisoner of Azkaban	(Harry Potter #3)	J.K. Rowling	4.57	2831030	55926	"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort.Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, ""He's at Hogwarts . . . he's at Hogwarts.""Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst."	435	May 1st 2004	Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Colin Creevey, Filius Flitwick, Pomona Sprout, Arthur Weasley, Molly Weasley, Cho Chang, Marjorie Dursley, Cornelius Fudge, Remus Lupin, Sybil Trelawney, Peter Pettigrew, Poppy Pomfrey, Stan Shunpike, Oliver Wood, Cedric Diggory, Dean Thomas, Seamus Finnigan, Rolanda Hooch, Katie Bell, Ernie Prang, Albus Dumbledore, Harry Potter, Hermione Granger	Hogwarts School of Witchcraft and Wizardry, London, England	https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Fellowship of the Ring	(The Lord of the Rings #1)	J.R.R. Tolkien	4.36	2367601	22980	One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind themIn ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.	527	March 1973 by	Frodo Baggins, Meriadoc Brandybuck, Peregrin Took, Gandalf, Aragorn, Gimli, Boromir, Bilbo Baggins, Tom Bombadil, Rúmil, Saruman, Elrond Half-elven, Arwen Undómiel, Galadriel, Gollum, Goldberry, Legolas, Sam Gamgee	Middle-earth	https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring
Atlas Shrugged	NaN	Ayn Rand	3.69	355125	17422	This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, that is the first of your premises to check.	1168	August 1st 1999	Prometheus (mythology), Atlas, Dagny Taggart, John Galt, Hank Rearden, Francisco d'Anconia, James Taggart	NaN	https://www.goodreads.com/book/show/662.Atlas_Shrugged
The Old Man and the Sea	NaN	Ernest Hemingway	3.78	837011	25461	Librarian's note: An alternate cover edition can be found hereThis short novel, already a modern classic, is the superbly told, tragic story of a Cuban fisherman in the Gulf Stream and the giant Marlin he kills and loses — specifically referred to in the citation accompanying the author's Nobel Prize for literature in 1954.	96	1996 by Scribner	Santiago, Manolin	Cuba	https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
The Notebook	(The Notebook #1)	Nicholas Sparks	4.11	1337407	20088	Set amid the austere beauty of the North Carolina coast begins the story of Noah Calhoun, a rural Southerner recently returned from the Second World War. Noah is restoring a plantation home to its former glory, and he is haunted by images of the beautiful girl he met fourteen years earlier, a girl he loved like no other. Unable to find her, yet unwilling to forget the summer they spent together, Noah is content to live with only memories...until she unexpectedly returns to his town to see him once again.Like a puzzle within a puzzle, the story of Noah and Allie is just the beginning. As it unfolds, their tale miraculously becomes something different, with much higher stakes. The result is a deeply moving portrait of love itself, the tender moments and the fundamental changes that affect us all. It is a story of miracles and emotions that will stay with you forever.	227	January 5th 2000	Noah Taylor Calhoun, Allison Nelson, Lon Hammond Jr, Anne Nelson	New Bern, North Carolina, North Carolina	https://www.goodreads.com/book/show/33648131-the-notebook
Winnie-the-Pooh	(Winnie-the-Pooh #1)	A.A. Milne	4.34	272426	4842	The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.	145	October 1st 2001	Winnie the Pooh (A.A. Milne), Christopher Robin (A.A. Milne), Piglet (A.A. Milne), Owl (A.A. Milne), Kanga (A.A. Milne), Roo (A.A. Milne), Eeyore (A.A. Milne), Rabbit (A.A. Milne)	Hundred Acre Wood	https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
The Complete Stories and Poems	NaN	Edgar Allan Poe	4.38	221791	2250	This single volume brings together all of Poe's stories and poems, and illuminates the diverse and multifaceted genius of one of the greatest and most influential figures in American literary history.	821	August 15th 1984	NaN	United States of America	https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
Interview with the Vampire	(The Vampire Chronicles #1)	Anne Rice	4.00	487776	10413	"This is the story of Louis, as told in his own words, of his journey through mortal and immortal life. Louis recounts how he became a vampire at the hands of the radiant and sinister Lestat and how he became indoctrinated, unwillingly, into the vampire way of life. His story ebbs and flows through the streets of New Orleans, defining crucial moments such as his discovery of the exquisite lost young child Claudia, wanting not to hurt but to comfort her with the last breaths of humanity he has inside. Yet, he makes Claudia a vampire, trapping her womanly passion, will, and intelligence inside the body of a small child. Louis and Claudia form a seemingly unbreakable alliance and even ""settle down"" for a while in the opulent French Quarter. Louis remembers Claudia's struggle to understand herself and the hatred they both have for Lestat that sends them halfway across the world to seek others of their kind. Louis and Claudia are desperate to find somewhere they belong, to find others who understand, and someone who knows what and why they are.Louis and Claudia travel Europe, eventually coming to Paris and the ragingly successful Theatre des Vampires--a theatre of vampires pretending to be mortals pretending to be vampires. Here they meet the magnetic and ethereal Armand, who brings them into a whole society of vampires. But Louis and Claudia find that finding others like themselves provides no easy answers and in fact presents dangers they scarcely imagined.Originally begun as a short story, the book took off as Anne wrote it, spinning the tragic and triumphant life experiences of a soul. As well as the struggles of its characters, Interview captures the political and social changes of two continents. The novel also introduces Lestat, Anne's most enduring character, a heady mixture of attraction and revulsion. The book, full of lush description, centers on the themes of immortality, change, loss, sexuality, and power.source: annerice.com"	342	August 31st 2004	Lestat de Lioncourt, Claudia, Daniel Molloy, Louis de Pointe du Lac	New Orleans, Louisiana, Paris	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Moby-Dick or, the Whale	NaN	Herman Melville	3.51	480974	15774	"""It is the horrible texture of a fabric that should be woven of ships' cables and hawsers. A Polar wind blows through it, and birds of prey hover over it."" So Melville wrote of his masterpiece, one of the greatest works of imagination in literary history. In part, Moby-Dick is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopaedia of whaling lore and legend, the book can be seen as part of its author's lifelong meditation on America. Written with wonderfully redemptive humour, Moby-Dick is also a profound inquiry into character, faith, and the nature of perception.This edition of Moby-Dick, which reproduces the definitive text of the novel, includes invaluable explanatory notes, along with maps, illustrations, and a glossary of nautical terms."	654	February 21st 2003	"Elijah, Stubb, Captain Ahab, Ishmael, Queequeg, Starbuck, Tashtego, Dough-boy, Flask, Daggoo, Fedallah, Pippin (""Pip""), Moby Dick, Mapple Priest, Peleg, Bildad, Fleece, Perth, Peter Coffin, Aunt Charity, Mrs Hussey"	Nantucket Island, Massachusetts, Pacific Ocean, Atlantic Ocean, New Bedford, Massachusetts	https://www.goodreads.com/book/show/153747.Moby_Dick_or_the_Whale
The Red Tent	NaN	Anita Diamant	4.18	522310	19295	Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood—the world of the red tent. It begins with the story of her mothers—Leah, Rachel, Zilpah, and Bilhah—the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.	324	October 1997 by	Isaac (Bible), Dinah (Bible), Jacob (Bible)	NaN	https://www.goodreads.com/book/show/4989.The_Red_Tent
Harry Potter and the Goblet of Fire	(Harry Potter #4)	J.K. Rowling	4.56	2614703	46915	Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.And in his case, different can be deadly.	734	September 28th 2002	Sirius Black, Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Rubeus Hagrid, Lord Voldemort, Minerva McGonagall, Neville Longbottom, Fred Weasley, George Weasley, Percy Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cho Chang, Cornelius Fudge, Sybil Trelawney, Ludo Bagman, Bartemius Crouch, Bartemius Crouch, Jr., Fleur Delacour, Cedric Diggory, Viktor Krum, Bellatrix Lestrange, Alastor Moody, Rita Skeeter, Charlie Weasley, Bill Weasley, Albus Dumbledore, Harry Potter, Hermione Granger	London, England, Hogwarts School of Witchcraft and Wizardry	https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire
The Secret Life of Bees	NaN	Sue Monk Kidd	4.06	1121348	30591	"Set in South Carolina in 1964, The Secret Life of Bees tells the story of Lily Owens, whose life has been shaped around the blurred memory of the afternoon her mother was killed. When Lily's fierce-hearted black ""stand-in mother,"" Rosaleen, insults three of the deepest racists in town, Lily decides to spring them both free. They escape to Tiburon, South Carolina--a town that holds the secret to her mother's past. Taken in by an eccentric trio of black beekeeping sisters, Lily is introduced to their mesmerizing world of bees and honey, and the Black Madonna. This is a remarkable novel about divine female power, a story women will share and pass on to their daughters for years to come."	302	January 28th 2003	Lily Owens, Rosaleen, August Boatwright, June Boatwright, May Boatwright, T. Ray Owens	United States of America, South Carolina, Tiburon, South Carolina	https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees
Clockwork Angel	(The Infernal Devices #1)	Cassandra Clare	4.32	672769	31925	In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her missing brother. She soon discovers that her only allies are the demon-slaying Shadowhunters—including Will and Jem, the mysterious boys she is attracted to. Soon they find themselves up against the Pandemonium Club, a secret organization of vampires, demons, warlocks, and humans. Equipped with a magical army of unstoppable clockwork creatures, the Club is out to rule the British Empire, and only Tessa and her allies can stop them...	481	August 31st 2010	"Theresa ""Tessa"" Gray, Magnus Bane, William Herondale, James ""Jem"" Carstairs, Jessamine Lovelace, Henry Branwell, Charlotte Branwell, Nathaniel Gray, Camille Belcourt, Sophie Collins"	London, England	https://www.goodreads.com/book/show/7171637-clockwork-angel
Harry Potter and the Half-Blood Prince	(Harry Potter #6)	J.K. Rowling	4.57	2455890	39799	The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.And yet . . .As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability.	652	September 16th 2006	Draco Malfoy, Ron Weasley, Petunia Dursley, Vernon Dursley, Dudley Dursley, Severus Snape, Lord Voldemort, Neville Longbottom, Fred Weasley, George Weasley, Ginny Weasley, Arthur Weasley, Molly Weasley, Cornelius Fudge, Peter Pettigrew, Fleur Delacour, Bellatrix Lestrange, Bill Weasley, Luna Lovegood, Nymphadora Tonks, Kreacher, Narcissa Malfoy, Horace Slughorn, Albus Dumbledore, Harry Potter, Hermione Granger, Madam Malkin, Romilda Vane	Hogwarts School of Witchcraft and Wizardry, England	https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince
And Then There Were None	NaN	Agatha Christie	4.26	832743	34069	"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion:""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none.""When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion."	264	May 3rd 2004	Justice Lawrence John Wargrave, Vera Elizabeth Claythorne, Philip Lombard, General John Gordon Macarthur, Dr Edward George Armstrong, Anthony James Marston, William Henry Blore, Mr Thomas Rogers, Mrs Ethel Rogers, Emily Caroline Brent, Isaac Morris, Fred Narracott	United Kingdom, Devon Coast, England, Devon, England	https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
Middlesex	NaN	Jeffrey Eugenides	4.01	583184	23230	Middlesex tells the breathtaking story of Calliope Stephanides, and three generations of the Greek-American Stephanides family, who travel from a tiny village overlooking Mount Olympus in Asia Minor to Prohibition-era Detroit, witnessing its glory days as the Motor City and the race riots of 1967 before moving out to the tree-lined streets of suburban Grosse Pointe, Michigan. To understand why Calliope is not like other girls, she has to uncover a guilty family secret, and the astonishing genetic history that turns Callie into Cal, one of the most audacious and wondrous narrators in contemporary fiction. Lyrical and thrilling, Middlesex is an exhilarating reinvention of the American epic.	529	September 16th 2003	Calliope Stephanides, Eleutherios Stephanides, Desdemona Stephanides, Sourmelina Zizmo, Miltiades Stephanides, Theodora Stephanides, Chapter Eleven, The Obscure Object, James Zizmo, Michael Antoniou	Bursa, Izmir, Detroit, Michigan, Berlin	https://www.goodreads.com/book/show/2187.Middlesex
The Stranger	NaN	Albert Camus	3.99	711673	23540	"Through the story of an ordinary man unwittingly drawn into a senseless murder on an Algerian beach, Camus explored what he termed ""the nakedness of man faced with the absurd."" First published in English in 1946; now in a new translation by Matthew Ward."	123	March 28th 1989	Meursault, Raymond Sintès, Marie Cardona, Salamano	Algeria	https://www.goodreads.com/book/show/49552.The_Stranger
The Master and Margarita	NaN	Mikhail Bulgakov	4.29	245281	11705	The first complete, annotated English Translation of Mikhail Bulgakov's comic masterpiece.An audacious revision of the stories of Faust and Pontius Pilate, The Master and Margarita is recognized as one of the essential classics of modern Russian literature. The novel's vision of Soviet life in the 1930s is so ferociously accurate that it could not be published during its author's lifetime and appeared only in a censored edition in the 1960s. Its truths are so enduring that its language has become part of the common Russian speech.One hot spring, the devil arrives in Moscow, accompanied by a retinue that includes a beautiful naked witch and an immense talking black cat with a fondness for chess and vodka. The visitors quickly wreak havoc in a city that refuses to believe in either God or Satan. But they also bring peace to two unhappy Muscovites: one is the Master, a writer pilloried for daring to write a novel about Christ and Pontius Pilate; the other is Margarita, who loves the Master so deeply that she is willing literally to go to hell for him. What ensues is a novel of inexhaustible energy, humor, and philosophical depth, a work whose nuances emerge for the first time in Diana Burgin's and Katherine Tiernan O'Connor's splendid English version.(back cover)	335	March 1996 by	Lucifer, Pontius Pilate, Behemot, Master, Margarita Nicolaevna, Ivan Nikolayevich Ponyryov, Yeshua Ha-Nozri, Mikhail Alexandrovich Berlioz, Hella (The Master and Margarita), Stephan Bogdanovich Likhodeyev, Natasha (The Master and Margarita), Korovyev, Azazello	Moscow, Russia, Jerusalem	https://www.goodreads.com/book/show/117833.The_Master_and_Margarita
The Name of the Wind	(The Kingkiller Chronicle #1)	Patrick Rothfuss	4.52	723066	42235	Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen. The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature. A high-action story written with a poet's hand, The Name of the Wind is a masterpiece that will transport readers into the body and mind of a wizard.	662	April 2007 by	Bast, Denna, Ambrose, Kvothe, Simmon, Wilem, The Chandrian, Devi, Auri, Fela, Chronicler	NaN	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
